model,train/loss,train/mClassAcc,train/mAcc,val/loss,val/mClassAcc,val/mAcc,params
DeepCNNOpt,"(2.2086939811706543, 2.0828633308410645, 1.892374873161316, 1.9988068342208862, 1.9316457509994507, 1.8319475650787354, 1.7919933795928955, 1.6909732818603516, 1.7630023956298828, 1.9004992246627808)","(0.14878657311201096, 0.20348815619945526, 0.2358177572488785, 0.26663187965750695, 0.2995984897017479, 0.31148645728826524, 0.3341999351978302, 0.3454932704567909, 0.3567755088210106, 0.3764312416315079)","(0.1499, 0.2048, 0.2362, 0.2667, 0.2997, 0.3114, 0.3342, 0.3456, 0.3564, 0.3762)","(2.344770908355713, 2.0040135383605957, 1.8525382280349731, 1.7855224609375, 1.7346960306167603, 1.6361478567123413, 1.448607087135315, 1.3776237964630127, 1.4471458196640015, 1.717642068862915)","(0.17687337398529052, 0.21433649244718253, 0.3031616335734725, 0.33307458385825156, 0.35714317858219147, 0.37211942598223685, 0.38617864847183225, 0.3865155428647995, 0.4156672015786171, 0.4280445262789726)","(0.1772, 0.2157, 0.3023, 0.3329, 0.3581, 0.3731, 0.3869, 0.3864, 0.4164, 0.4294)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
DeepCNNOpt,"(2.1867783069610596, 1.8855130672454834, 2.1444945335388184, 1.9239133596420288, 1.8303464651107788, 1.8543493747711182, 1.8211344480514526, 1.6601128578186035, 1.5434823036193848, 1.4220861196517944)","(0.17972471192479134, 0.26191000938415526, 0.3034544408321381, 0.32347084730863573, 0.3453806862235069, 0.3719346061348915, 0.373215389251709, 0.3820640280842781, 0.4016796052455902, 0.4107536554336548)","(0.1801, 0.2619, 0.3033, 0.3232, 0.345, 0.3721, 0.3733, 0.3819, 0.4018, 0.4107)","(2.114252805709839, 1.9522209167480469, 1.8565548658370972, 1.8302886486053467, 1.7662107944488525, 1.862332820892334, 1.6085063219070435, 1.5788317918777466, 1.5039336681365967, 1.054006576538086)","(0.2622878573834896, 0.34612391153350475, 0.3340369466692209, 0.358498564735055, 0.36136288940906525, 0.3994255006313324, 0.40938504338264464, 0.4254338502883911, 0.4555282652378082, 0.4350854977965355)","(0.2636, 0.3474, 0.3336, 0.3595, 0.3595, 0.4011, 0.41, 0.4263, 0.4562, 0.4357)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
DeepCNNOpt,"(1.7611433267593384, 1.785918116569519, 1.7363651990890503, 2.0360851287841797, 1.8807083368301392, 1.5397213697433472, 1.523078441619873, 1.1708154678344727, 1.8378173112869263, 1.1838966608047485)","(0.22438280731439592, 0.32674870043993, 0.363689149916172, 0.3959429830312729, 0.42382858097553255, 0.4427571058273315, 0.4484696567058563, 0.46813432574272157, 0.47945970594882964, 0.4984578758478165)","(0.2242, 0.3268, 0.3635, 0.3959, 0.4237, 0.4426, 0.4484, 0.4683, 0.4794, 0.4983)","(1.4552583694458008, 1.836143970489502, 1.4831695556640625, 1.7481374740600586, 1.4277406930923462, 1.7168636322021484, 1.4807870388031006, 1.3185933828353882, 1.5043011903762817, 1.4369345903396606)","(0.37330714240670204, 0.40834673792123793, 0.4196909014135599, 0.44884028285741806, 0.4673352614045143, 0.4856021270155907, 0.4860913693904877, 0.5066819429397583, 0.5033098012208939, 0.5183918803930283)","(0.3735, 0.4084, 0.4202, 0.4501, 0.4674, 0.4859, 0.4855, 0.5069, 0.5035, 0.5182)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
DeepCNNOpt,"(2.1774542331695557, 1.8404862880706787, 1.293222188949585, 1.6784238815307617, 1.305422067642212, 1.6580619812011719, 1.0507742166519165, 1.293217420578003, 1.0252199172973633, 1.5662716627120972)","(0.2160559892654419, 0.3043386310338974, 0.34988427311182024, 0.3834621161222458, 0.4021435216069221, 0.4237795740365982, 0.44511041343212127, 0.46305014491081237, 0.47733317613601683, 0.487838476896286)","(0.2165, 0.3041, 0.3498, 0.3837, 0.402, 0.4239, 0.4452, 0.4631, 0.4773, 0.488)","(2.071237325668335, 1.8711777925491333, 1.3772696256637573, 1.505399465560913, 1.485232949256897, 1.3246018886566162, 1.4708268642425537, 1.4975922107696533, 1.3705105781555176, 1.7198307514190674)","(0.27639811150729654, 0.3903637558221817, 0.4007049068808556, 0.41492665708065035, 0.4494582533836365, 0.4796225935220718, 0.5032473847270011, 0.4941643804311752, 0.529587359726429, 0.5333656042814254)","(0.2755, 0.3902, 0.4026, 0.4159, 0.4498, 0.48, 0.5031, 0.4944, 0.5294, 0.5337)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
DeepCNNOpt,"(2.018326997756958, 2.118607997894287, 1.6483898162841797, 2.069176435470581, 2.375293731689453, 2.131463050842285, 1.6640443801879883, 1.2123692035675049, 1.3365849256515503, 1.4823412895202637)","(0.1863548569381237, 0.27578953728079797, 0.3153214126825333, 0.33435809463262556, 0.3533800572156906, 0.3773346245288849, 0.38709293901920316, 0.40039472132921217, 0.4041098147630692, 0.4221268862485886)","(0.1871, 0.2761, 0.3152, 0.3337, 0.3529, 0.3767, 0.3867, 0.4, 0.404, 0.422)","(2.072831630706787, 2.0010154247283936, 1.4103151559829712, 1.8010629415512085, 2.006767749786377, 1.2829835414886475, 1.6076074838638306, 2.14988374710083, 1.7878402471542358, 1.7545747756958008)","(0.2927625272423029, 0.33126141875982285, 0.3723393142223358, 0.3878401190042496, 0.40515798032283784, 0.4042475014925003, 0.42865765690803526, 0.4426597833633423, 0.4527162790298462, 0.46657213270664216)","(0.2941, 0.3316, 0.373, 0.389, 0.4062, 0.4049, 0.4295, 0.4436, 0.4542, 0.4669)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
DeepCNNOpt,"(2.249027729034424, 2.1939969062805176, 1.930672526359558, 1.7989563941955566, 1.5423583984375, 2.0141756534576416, 1.797211766242981, 1.7389190196990967, 1.4908493757247925, 1.8089609146118164)","(0.1800236575305462, 0.2531801089644432, 0.29355936497449875, 0.31456349939107897, 0.3283615246415138, 0.3506662964820862, 0.35088941901922227, 0.3794244334101677, 0.3803704723715782, 0.3886461675167084)","(0.1805, 0.2535, 0.2933, 0.3144, 0.3278, 0.3502, 0.3507, 0.3791, 0.3801, 0.3885)","(2.2231063842773438, 1.949101209640503, 1.6232986450195312, 1.5735664367675781, 1.622630000114441, 1.7215890884399414, 1.4643669128417969, 1.8574217557907104, 1.3634270429611206, 1.7588980197906494)","(0.2606937777251005, 0.31980950068682434, 0.34781539142131807, 0.3699748210608959, 0.37078716456890104, 0.3969476014375687, 0.41058486998081206, 0.4103877693414688, 0.4256810784339905, 0.41877741515636446)","(0.261, 0.3195, 0.348, 0.3711, 0.3715, 0.3978, 0.4109, 0.4108, 0.4266, 0.42)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
DeepCNNOpt,"(2.055589437484741, 1.9218577146530151, 1.5072414875030518, 2.089925527572632, 1.265085220336914, 1.3646795749664307, 1.3846179246902466, 1.2810076475143433, 1.5243698358535767, 1.141889214515686)","(0.21684621050953864, 0.31804644763469697, 0.3568809166550636, 0.3929070562124252, 0.41452932357788086, 0.44087696075439453, 0.46339884102344514, 0.48815337717533114, 0.5081356048583985, 0.5171578824520111)","(0.2173, 0.318, 0.3566, 0.3929, 0.4147, 0.4408, 0.4633, 0.4882, 0.5084, 0.5173)","(1.9146230220794678, 1.7962467670440674, 1.5450114011764526, 1.3820117712020874, 1.310107707977295, 1.3726203441619873, 1.8227803707122803, 1.2080951929092407, 1.349599838256836, 1.3027949333190918)","(0.33350888527929784, 0.39517312347888944, 0.4164245530962944, 0.43952669501304625, 0.4548833332955837, 0.46399055868387223, 0.5116132691502571, 0.5242875963449478, 0.5285312920808792, 0.5318075031042099)","(0.3332, 0.3958, 0.4165, 0.4384, 0.4553, 0.4644, 0.5116, 0.524, 0.5286, 0.5323)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
DeepCNNOpt,"(1.8208441734313965, 2.024933338165283, 1.987186074256897, 1.7606174945831299, 1.2438496351242065, 1.6534337997436523, 1.305637240409851, 1.6497514247894287, 2.1227636337280273, 1.1522493362426758)","(0.21572527661919594, 0.3186227634549141, 0.3584170639514923, 0.3834076300263405, 0.41611217260360717, 0.4405149191617966, 0.4622725397348404, 0.4814042836427689, 0.4986581355333328, 0.5143918365240097)","(0.2163, 0.3186, 0.3586, 0.3837, 0.4164, 0.4408, 0.4624, 0.4817, 0.499, 0.5147)","(2.0057802200317383, 1.5222493410110474, 1.741549015045166, 1.7401821613311768, 1.7133302688598633, 1.2041654586791992, 1.5055879354476929, 1.2739304304122925, 1.1693087816238403, 1.3111398220062256)","(0.3413825824856758, 0.3865369617938995, 0.4313642866909504, 0.4436183623969555, 0.47150970846414564, 0.4850868985056877, 0.49644740521907804, 0.5028794914484024, 0.507006224989891, 0.5218930095434189)","(0.3421, 0.3878, 0.4314, 0.4433, 0.4713, 0.4854, 0.4962, 0.5026, 0.5078, 0.521)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
DeepNormalizedCNNOpt,"(1.9197849035263062, 1.3480321168899536, 1.6631748676300049, 1.6956312656402588, 1.6035798788070679, 1.8050272464752197, 1.067395806312561, 1.4243167638778687, 1.0971522331237793, 1.4016209840774536)","(0.3239979177713394, 0.4212843686342239, 0.46768094301223756, 0.48762995898723605, 0.5148286700248719, 0.5337998628616333, 0.5466775745153427, 0.5624165087938309, 0.5723157852888108, 0.5863835096359253)","(0.3242, 0.4211, 0.4675, 0.4875, 0.515, 0.5338, 0.5468, 0.5623, 0.5724, 0.5865)","(1.930237889289856, 2.0550124645233154, 1.584237813949585, 1.8971564769744873, 1.9895519018173218, 1.5827394723892212, 2.5839481353759766, 0.8057557344436646, 0.9581195712089539, 1.102943778038025)","(0.3459615662693977, 0.39603241086006163, 0.383840954862535, 0.46898506581783295, 0.49022493362426756, 0.48166403621435167, 0.3761051718145609, 0.5182507485151291, 0.568380768597126, 0.5701091140508652)","(0.3456, 0.3965, 0.3837, 0.4699, 0.4895, 0.4812, 0.3786, 0.5182, 0.5684, 0.5703)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
DeepNormalizedCNNOpt,"(1.3131639957427979, 1.6107759475708008, 1.4842746257781982, 1.3186633586883545, 0.9973319172859192, 1.5291829109191895, 1.2719639539718628, 1.3675509691238403, 1.0914281606674194, 1.030815601348877)","(0.32907938957214355, 0.4229937717318535, 0.4620829731225967, 0.49778798818588255, 0.5264665067195893, 0.5393499255180358, 0.5599391102790833, 0.5681439131498337, 0.582766792178154, 0.5805479496717453)","(0.3291, 0.4227, 0.4622, 0.4978, 0.5266, 0.5396, 0.5602, 0.5683, 0.583, 0.5809)","(1.9833706617355347, 1.705291986465454, 1.8029605150222778, 1.3813203573226929, 1.5416810512542725, 1.5301395654678345, 1.3295137882232666, 1.3159714937210083, 1.2731244564056396, 1.239143967628479)","(0.3702012270689011, 0.3850094124674797, 0.4449262708425522, 0.4832034155726433, 0.45820429995656015, 0.5259643971920014, 0.5505875408649444, 0.5788557410240174, 0.5907018333673477, 0.600710105895996)","(0.3704, 0.3854, 0.4473, 0.4836, 0.457, 0.5266, 0.551, 0.5784, 0.5911, 0.6006)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
DeepNormalizedCNNOpt,"(1.6218305826187134, 1.2133769989013672, 1.3246605396270752, 1.0435967445373535, 1.3424434661865234, 1.1331685781478882, 1.1079771518707275, 0.7066840529441833, 0.8028295040130615, 1.058393120765686)","(0.37223862707614896, 0.4764960914850235, 0.5284869432449341, 0.5636939108371735, 0.588800510764122, 0.6211777299642562, 0.6296062558889389, 0.6515693902969361, 0.6614780962467194, 0.6761417150497436)","(0.372, 0.4764, 0.5286, 0.564, 0.589, 0.6215, 0.63, 0.6518, 0.6618, 0.6765)","(1.4974130392074585, 1.4043904542922974, 1.1087119579315186, 1.3084778785705566, 0.5445929765701294, 1.011828064918518, 1.12690007686615, 0.7476553916931152, 1.0435612201690674, 1.2829883098602295)","(0.4514786422252655, 0.5167824998497963, 0.5134070560336113, 0.5033601902425289, 0.5799396872520447, 0.607282155752182, 0.6204613298177719, 0.6102435529232025, 0.6148482680320739, 0.6278561413288116)","(0.4519, 0.5177, 0.5138, 0.5031, 0.5801, 0.6074, 0.62, 0.6102, 0.6144, 0.6286)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
DeepNormalizedCNNOpt,"(1.4429789781570435, 1.5871084928512573, 0.9871072769165039, 0.8107139468193054, 1.0393152236938477, 0.8870278000831604, 1.2550853490829468, 1.0918464660644531, 1.1211200952529907, 1.0860977172851562)","(0.3597533702850342, 0.47905279099941256, 0.5282573938369751, 0.5640743196010589, 0.600558477640152, 0.6203245192766189, 0.6393806129693985, 0.6509449541568756, 0.6576131701469421, 0.6757577002048493)","(0.3596, 0.4791, 0.5285, 0.5642, 0.6007, 0.6204, 0.6394, 0.6512, 0.6577, 0.6759)","(1.2533950805664062, 1.257033109664917, 1.7319049835205078, 2.0681140422821045, 1.7130722999572754, 2.1770293712615967, 1.7167118787765503, 0.767749547958374, 0.7444276213645935, 1.0849359035491943)","(0.4225922584533691, 0.513434624671936, 0.44207131606526673, 0.48207019045948984, 0.46989268325269223, 0.4804715424776077, 0.5794480293989182, 0.6329915761947632, 0.6425723373889923, 0.6318028271198273)","(0.4241, 0.5152, 0.4415, 0.483, 0.4686, 0.4784, 0.5799, 0.633, 0.6433, 0.632)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
DeepNormalizedCNNOpt,"(1.8131816387176514, 1.3643931150436401, 1.4870282411575317, 1.277186393737793, 1.033952236175537, 1.1949617862701416, 1.4255528450012207, 0.8652119636535645, 1.3683416843414307, 1.0405386686325073)","(0.32297286838293077, 0.4204027369618416, 0.46740453541278837, 0.493668195605278, 0.5138175100088119, 0.5413473010063171, 0.5600437134504318, 0.5771913975477219, 0.5872889488935471, 0.5986287444829941)","(0.3226, 0.4203, 0.4677, 0.4939, 0.5141, 0.5417, 0.5604, 0.5776, 0.5877, 0.5989)","(1.3611817359924316, 2.9430747032165527, 1.9392427206039429, 1.6042684316635132, 1.3641360998153687, 1.6219708919525146, 1.6282131671905518, 1.4090304374694824, 1.3693840503692627, 0.6128833889961243)","(0.34035005122423173, 0.19014722127467393, 0.40883236229419706, 0.4994899809360504, 0.48389702886343, 0.522039495408535, 0.566500785946846, 0.5179695755243301, 0.5764769434928894, 0.5337571233510972)","(0.3404, 0.192, 0.41, 0.5011, 0.4819, 0.5223, 0.5667, 0.5183, 0.5762, 0.5335)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
DeepNormalizedCNNOpt,"(1.472108244895935, 1.6640372276306152, 1.470099925994873, 1.9495091438293457, 1.6821389198303223, 1.4426276683807373, 0.8824524879455566, 0.934266984462738, 1.451078176498413, 1.042177438735962)","(0.325158017873764, 0.4237378865480423, 0.46633692681789396, 0.5036029815673828, 0.530008265376091, 0.5546326756477356, 0.5654111266136169, 0.5811909675598145, 0.5904467731714249, 0.6010982483625412)","(0.3253, 0.4235, 0.4665, 0.5039, 0.5303, 0.5546, 0.5658, 0.5816, 0.5907, 0.6015)","(1.9565402269363403, 1.2393527030944824, 1.3841993808746338, 1.5869859457015991, 1.248727798461914, 1.0277037620544434, 1.25686514377594, 1.3640892505645752, 1.5700496435165405, 1.1377084255218506)","(0.36802118867635725, 0.4343730717897415, 0.4740733116865158, 0.48157676607370375, 0.4342759341001511, 0.5505422353744507, 0.5475868135690689, 0.5753382310271263, 0.5636733517050743, 0.5802586257457734)","(0.3685, 0.4346, 0.4751, 0.4818, 0.4363, 0.5509, 0.5474, 0.5764, 0.5642, 0.5814)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
DeepNormalizedCNNOpt,"(1.4813587665557861, 2.214003801345825, 1.1392582654953003, 1.2206199169158936, 1.1012884378433228, 0.7374793291091919, 0.9817889928817749, 0.9095215201377869, 0.9701183438301086, 0.7850212454795837)","(0.36898366957902906, 0.4785568356513977, 0.5381876766681671, 0.583997106552124, 0.6159123718738556, 0.646077036857605, 0.6654666006565094, 0.6786679923534393, 0.7043491125106811, 0.7275712192058563)","(0.3688, 0.4785, 0.5382, 0.5844, 0.6163, 0.6462, 0.6657, 0.6789, 0.7045, 0.7276)","(1.409271478652954, 1.9405680894851685, 1.4422844648361206, 1.2855225801467896, 0.9115818738937378, 0.7308470606803894, 1.3734604120254517, 1.3567163944244385, 0.8038591742515564, 0.726618230342865)","(0.43750027716159823, 0.36342279333621264, 0.5112375006079674, 0.5743787661194801, 0.5703619539737701, 0.5808595955371857, 0.5928885370492936, 0.5798912107944488, 0.6439116686582566, 0.6510929644107819)","(0.4389, 0.3635, 0.511, 0.5755, 0.5714, 0.5813, 0.5912, 0.5792, 0.6452, 0.652)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
DeepNormalizedCNNOpt,"(1.5651775598526, 1.7661781311035156, 1.7037556171417236, 1.3134894371032715, 0.7103784084320068, 0.9346227049827576, 1.1784788370132446, 0.8877243399620056, 0.6687245965003967, 0.9676648378372192)","(0.3753623515367508, 0.48507934212684634, 0.540696170926094, 0.5816353261470795, 0.6189246565103531, 0.6468931019306183, 0.6658706068992615, 0.6846214830875397, 0.7025733947753906, 0.7234281539916992)","(0.3755, 0.4853, 0.5408, 0.5822, 0.6192, 0.6473, 0.6661, 0.6849, 0.7029, 0.7236)","(1.7990696430206299, 0.9709043502807617, 1.263602614402771, 1.2547146081924438, 1.6987226009368896, 1.1150695085525513, 1.0753955841064453, 1.2882368564605713, 1.5554777383804321, 0.8653112649917603)","(0.4558928802609444, 0.5009235888719559, 0.519391043484211, 0.48618408739566804, 0.5703963100910187, 0.6073749035596847, 0.5990473389625549, 0.587681171298027, 0.649512842297554, 0.6389378011226654)","(0.4557, 0.5017, 0.5189, 0.4858, 0.5711, 0.6085, 0.6011, 0.5877, 0.6494, 0.6393)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
DeepNormalizedCNNOpt,"(1.4228280782699585, 1.3993346691131592, 1.9202589988708496, 1.4422361850738525, 1.570214033126831, 1.6173701286315918, 1.5742826461791992, 1.102620244026184, 1.3684556484222412, 1.3352391719818115)","(0.2763384610414505, 0.3638635128736496, 0.40608743131160735, 0.4227550983428955, 0.4476490318775177, 0.4543787956237793, 0.4765453815460205, 0.4896207243204117, 0.49609783887863157, 0.5030871242284775)","(0.2763, 0.3635, 0.406, 0.4227, 0.4477, 0.4547, 0.4763, 0.4899, 0.4962, 0.5033)","(1.4755507707595825, 1.4762285947799683, 0.8816441893577576, 1.3160626888275146, 1.5604859590530396, 1.9269976615905762, 1.3944642543792725, 1.3381667137145996, 1.1814193725585938, 1.3810937404632568)","(0.34399689007550477, 0.38409645706415174, 0.42853308022022246, 0.44711824208498, 0.37455771677196026, 0.4072654291987419, 0.5012505888938904, 0.5251467794179916, 0.536670845746994, 0.5416205555200577)","(0.3429, 0.3841, 0.4299, 0.4474, 0.3749, 0.4089, 0.5021, 0.5251, 0.5373, 0.5418)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
DeepNormalizedCNNOpt,"(2.161842107772827, 1.9161949157714844, 1.6919431686401367, 1.3625603914260864, 2.029412031173706, 1.5103957653045654, 0.8995891213417053, 1.177281141281128, 1.6212608814239502, 1.1159329414367676)","(0.2869339793920517, 0.37767394036054613, 0.4085927501320839, 0.43619214594364164, 0.4536996930837631, 0.4675277084112167, 0.4756998270750046, 0.4996949791908264, 0.5132733047008514, 0.516833832859993)","(0.2872, 0.3776, 0.4087, 0.4361, 0.4536, 0.4676, 0.4759, 0.5001, 0.5134, 0.5171)","(1.4025225639343262, 1.787412166595459, 1.8923695087432861, 1.4905755519866943, 1.4611467123031616, 1.7193629741668701, 1.7061291933059692, 1.3144209384918213, 1.2122949361801147, 1.5073745250701904)","(0.3948789671063423, 0.32160772047936914, 0.36852684170007705, 0.4297675393521786, 0.4899841219186783, 0.4441689237952232, 0.4609896056354046, 0.5164797365665436, 0.544080325961113, 0.5402968555688858)","(0.3953, 0.323, 0.3703, 0.4296, 0.4906, 0.445, 0.4625, 0.5162, 0.5441, 0.54)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
DeepNormalizedCNNOpt,"(1.3323405981063843, 1.3814918994903564, 1.6068475246429443, 1.4071314334869385, 1.090804100036621, 1.1580065488815308, 0.9494354724884033, 1.1865341663360596, 0.7008906602859497, 1.170837640762329)","(0.3217850476503372, 0.43150730431079865, 0.4767265051603317, 0.5105547994375229, 0.525792372226715, 0.5465797752141952, 0.5609591156244278, 0.5789339542388916, 0.5914419740438461, 0.6026897490024566)","(0.3217, 0.4315, 0.4771, 0.5109, 0.5261, 0.5467, 0.5611, 0.579, 0.5916, 0.6027)","(1.7168893814086914, 1.7072274684906006, 1.7631887197494507, 1.2738687992095947, 1.4376288652420044, 1.2607758045196533, 1.230214238166809, 0.6848441362380981, 1.6706323623657227, 0.9255349636077881)","(0.4040317997336388, 0.46809180825948715, 0.45235161632299425, 0.549200502038002, 0.5224448785185813, 0.5726810276508332, 0.5326805301010609, 0.5752364322543144, 0.5988881975412369, 0.6056760072708129)","(0.403, 0.4688, 0.4538, 0.5495, 0.5217, 0.5732, 0.5331, 0.5764, 0.5998, 0.606)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
DeepNormalizedCNNOpt,"(1.4678515195846558, 1.4059456586837769, 1.197261095046997, 1.2817326784133911, 0.9701593518257141, 1.1009787321090698, 0.9627077579498291, 1.2405600547790527, 1.2012367248535156, 1.2932850122451782)","(0.32406933754682543, 0.4167637228965759, 0.47119962275028227, 0.4964017629623413, 0.528241240978241, 0.5452956199645996, 0.5582768589258194, 0.5772322326898575, 0.5927232086658478, 0.5973833858966827)","(0.3241, 0.4169, 0.4714, 0.4967, 0.5284, 0.5455, 0.5587, 0.5774, 0.5929, 0.5978)","(2.05993390083313, 1.458396077156067, 0.870028555393219, 1.3506168127059937, 1.3207882642745972, 1.3497563600540161, 1.5268158912658691, 1.1034767627716064, 1.2554798126220703, 0.9777165651321411)","(0.4322548359632492, 0.4771742284297943, 0.4853455886244774, 0.5436306551098824, 0.549216715991497, 0.5501389980316163, 0.49677352905273436, 0.5638881713151932, 0.5735128849744797, 0.6186607599258422)","(0.4323, 0.4768, 0.4848, 0.5437, 0.5491, 0.551, 0.4982, 0.5634, 0.5736, 0.6188)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
DeepNormalizedCNNOpt,"(1.5269501209259033, 1.958607792854309, 1.3507318496704102, 1.3078163862228394, 1.524869680404663, 1.6089255809783936, 1.44573175907135, 1.5174875259399414, 1.426567792892456, 1.2605527639389038)","(0.28092626929283143, 0.3602888762950897, 0.39204532504081724, 0.422831591963768, 0.4441875547170639, 0.45976369380950927, 0.4686584442853928, 0.48738792836666106, 0.4974440187215805, 0.5135309427976609)","(0.2813, 0.3602, 0.3915, 0.4228, 0.4443, 0.4599, 0.4688, 0.4877, 0.4976, 0.5137)","(1.730188250541687, 1.3083443641662598, 1.0363330841064453, 1.213018774986267, 1.0462005138397217, 1.4972258806228638, 1.1500822305679321, 1.3812875747680664, 1.5065230131149292, 1.6551109552383423)","(0.352856756746769, 0.3747597232460976, 0.43794864118099214, 0.4500844419002533, 0.4896987408399582, 0.4427632465958595, 0.4970932424068451, 0.48459220081567767, 0.5063675791025162, 0.4838192068040371)","(0.3529, 0.3753, 0.4384, 0.4502, 0.4909, 0.4436, 0.4978, 0.4848, 0.5076, 0.4841)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
DeepNormalizedCNNOpt,"(1.5262171030044556, 1.6019207239151, 1.7864583730697632, 1.2610480785369873, 1.3258471488952637, 1.2842190265655518, 1.0149339437484741, 1.1942800283432007, 1.0102959871292114, 1.080462098121643)","(0.2866860285401344, 0.36378994435071943, 0.40306695848703383, 0.4269751995801926, 0.44667725563049315, 0.47145951390266416, 0.4911817878484726, 0.49936560094356536, 0.5225202947854996, 0.5219876557588577)","(0.2869, 0.3634, 0.4027, 0.427, 0.4469, 0.4717, 0.4913, 0.4994, 0.5229, 0.5222)","(1.9997414350509644, 1.3127399682998657, 1.6560310125350952, 1.1286832094192505, 1.2026429176330566, 1.2921983003616333, 1.27030611038208, 1.5623177289962769, 1.2118048667907715, 1.523710012435913)","(0.37250316310673953, 0.3738955587148666, 0.44182979613542556, 0.3688038381980732, 0.45614504218101504, 0.4838713675737381, 0.49601485282182695, 0.515817403793335, 0.4948690921068192, 0.5055714696645737)","(0.3737, 0.3736, 0.4426, 0.369, 0.4557, 0.484, 0.4969, 0.5152, 0.4942, 0.5059)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
DeepNormalizedCNNOpt,"(1.7215889692306519, 1.3100651502609253, 1.2955015897750854, 1.5529835224151611, 1.0520577430725098, 1.5456130504608154, 1.471338152885437, 0.9124452471733093, 1.4270764589309692, 0.9927821755409241)","(0.3217307984828949, 0.42728128731250764, 0.47134749591350555, 0.5021563947200776, 0.5291588336229325, 0.5518651336431504, 0.5707928657531738, 0.5835678160190583, 0.5936712235212326, 0.6083600610494614)","(0.3218, 0.427, 0.4711, 0.5021, 0.5293, 0.5518, 0.5707, 0.5835, 0.5937, 0.6083)","(1.2852509021759033, 1.8992705345153809, 1.3720673322677612, 1.308485984802246, 1.3985909223556519, 1.0653939247131348, 1.9552640914916992, 1.0922877788543701, 1.1616015434265137, 1.4922770261764526)","(0.42944583892822263, 0.3908246777951717, 0.4909958511590958, 0.47141643315553666, 0.5240725472569465, 0.5701364547014236, 0.5193062752485276, 0.5438625916838646, 0.5994426131248474, 0.6127594739198685)","(0.43, 0.3915, 0.4905, 0.4724, 0.5244, 0.5708, 0.5203, 0.5433, 0.5992, 0.6123)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
